Title,Rating,Votes,Duration,Genre
24 Hours to D-Day,4.6, 36,1h 23m,Action
Bastar: The Naxal Story,6.4, 3.3K,2h 4m,Action
Tariq,6.2, 18,2h 2m,Action
Buddy,3.9, 342,2h 17m,Action
Kizumonogatari: Koyomi Vamp,7.0, 88,2h 24m,Action
Gone with the Dead,4.4, 47,1h 36m,Action
Reloaded 2,7.8, 1.1K,45m,Action
Nu Huo 12 Xiao Shi,6.0, 47,1h 26m,Action
Bangkok Breaking: Heaven and Hell,5.8, 664,2h 26m,Action
GATAO: Like Father Like Son,6.8, 69,1h 40m,Action
The Desperate Chase,5.5, 59,1h 50m,Action
Warning 2,7.1, 885,2h 5m,Action
Memes & Nightmares,5.7, 85,1h 21m,Action
Breaking and Re-entering,5.8, 440,1h 49m,Action
Telekinesis,5.9, 60,1h 46m,Action
Kamen Rider 555 20th: Paradise Regained,5.9, 141,1h 5m,Action
Sikaar,8.3, 677,2h 30m,Action
Shekko,6.0, 557,2h,Action
The Heist,6.9, 2K,2h,Action
Sayen: The Huntress,4.4, 253,1h 28m,Action
Tiger's Trigger,4.2, 18,1h 24m,Action
Dragon Ball Z Kai,8.5, 71,1h 22m,Action
DNA,5.1, 210,2h 36m,Action
Touchdown,6.8, 14,1h 18m,Action
Clownface 3,9.5, 35,1h 44m,Action
Gold Raiders,2.0, 183,1h 28m,Action
The Experts,6.2, 268,2h 1m,Action
Sous écrous,5.4, 35,1h 51m,Action
Komandir,6.3, 518,2h 11m,Action
Kadakan,4.0, 112,2h 8m,Action
Oru Anveshanathinte Thudakkam,7.1, 830,3h 1m,Action
Virunnu,8.0, 875,2h 5m,Action
Yakuza Girl,2.3, 66,1h 22m,Action
In Tenebras: Into the Darkness,3.3, 174,1h 30m,Action
The Kingdom,7.9, 89,2h 13m,Action
Dark World,4.6, 15,2h 15m,Action
Where Is Gilgamesh?,9.0, 606,1h 30m,Action
Bohurupi,8.3, 1.4K,2h 35m,Action
Purushothamudu,7.4, 13,2h,Action
Transformers Prime: Galavatron's Revenge,3.4, 8,1h 44m,Action
Rode College,6.6, 428,2h 48m,Action
Second Life,6.8, 48,1h 45m,Action
South Side Hero,5.4, 36,1h 32m,Action
Hiranya,5.6, 20,2h 18m,Action
Hit List,5.5, 312,2h 5m,Action
Mutant,4.5, 59,1h 30m,Action
Ruslaan,3.3, 1.2K,2h,Action
Gangs of Godavari,5.0, 907,2h 45m,Action
Sunfall,2.3, 36,1h 14m,Action
Death Game,6.3, 24,1h 28m,Action
Bloodline,9.2, 49,1h 20m,Action
Operation Valentine,5.3, 1.4K,2h 13m,Action
Uninvited,6.8, 73,1h 33m,Action
Three Old Captors,7.0, 50,1h 34m,Action
Blade of Fury,6.1, 119,1h 30m,Action
The Mystery of Humanoid Puppet,6.7, 61,1h 28m,Action
Dange,5.3, 793,2h 34m,Action
Kuang Bao Ju Xi,6.0, 71,1h 15m,Action
Zénithal,5.4, 83,1h 20m,Action
Bhimaa,5.1, 1.2K,2h 21m,Action
Genis Aile 4: Cevahir & Ulvi,7.0, 54,1h 30m,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7, 200,2h 9m,Action
The Omicron Killer,2.9, 594,1h 38m,Action
Honeko Akabane's Bodyguards,5.9, 39,1h 57m,Action
UmroAyyar - A New Beginning,6.9, 672,2h 15m,Action
Por,5.1, 612,2h 34m,Action
Megdan: Between Water and Fire,5.4, 724,1h 46m,Action
How to Make a Werewolf,5.9, 138,16+,Action
Saint Young Men: Holy Men vs Demon Army,3.0, 13,1h 33m,Action
London Gangsters,4.3, 11,1h 44m,Action
Mahadev Ka Gorakhpur,7.8, 372,2h 11m,Action
Hell City,9.1, 27,1h 30m,Action
Saindhav,5.1, 1.6K,2h 18m,Action
Weapon,5.5, 5.5K,2h,Action
Rathnam,5.4, 3.7K,2h 35m,Action
Pungut,6.7, 11,1h 40m,Action
Spider-Man: Final Swing,8.4, 10,2h 33m,Action
Villain - Life of a Gangster,8.9, 156,2h 21m,Action
Saala,5.7, 1.1K,2h 10m,Action
Bhaje Vaayu Vegam,6.1, 553,2h 16m,Action
Mega Twister,2.5, 52,1h 15m,Action
Naag Bhoomi,5.7, 8,2h 10m,Action
Hrashwo Deergha,8.0, 82,2h 30m,Action
