Title,Rating,Votes,Duration,Genre
"Little, Big, and Far",7.4, 12,2h 1m,documentary
Mi Vagyunk Azahriah,6.5, 285,1h 29m,documentary
Panellinion,8.6, 32,1h 21m,documentary
Unbreakable: The Jelena Dokic Story,8.4, 106,1h 44m,documentary
Singing Back the Buffalo,9.3, 16,1h 39m,documentary
Strike: An Uncivil War,7.6, 318,1h 50m,documentary
The Last Sacrifice,7.4, 25,1h 34m,documentary
Undisputed,6.8, 102,1h 4m,documentary
I Shall Not Hate,7.1, 58,1h 35m,documentary
Nelma Kodama: The Queen of Dirty Money,5.5, 184,1h 34m,documentary
Chris Bumstead's the Raw Story,6.0, 21,1h 57m,documentary
Israel Palestine on Swedish TV 1958-1989,7.6, 64,3h 20m,documentary
Writing Hawa,8.7, 59,1h 24m,documentary
TWST: Things We Said Today,7.0, 45,1h 26m,documentary
The Ride Ahead,7.5, 16,1h 33m,documentary
Reas,6.8, 121,1h 22m,documentary
Irklais per Atlanta,9.0, 852,1h 40m,documentary
Born to Be Wild: The Story of Steppenwolf,7.2, 39,1h 40m,documentary
"Sudan, Remember Us",7.7, 40,1h 16m,documentary
Yalla Parkour,7.6, 37,1h 29m,documentary
An Army of Women,7.8, 22,1h 24m,documentary
Tajemství smrti,6.2, 15,1h 34m,documentary
Diane von Furstenberg: Woman in Charge,7.2, 310,1h 37m,documentary
For the Living,8.0, 6,1h 57m,documentary
A Photographic Memory,7.4, 24,1h 27m,documentary
Operation Hope: The Children Lost in the Amazon,6.8, 87,1h 26m,documentary
Revealed: How to Poison a Planet,7.5, 87,1h 35m,documentary
Pignorant,8.2, 1.8K,1h 42m,documentary
One Night in Millstreet,7.2, 73,1h 19m,documentary
The Texas Cheerleader Murder Plot,5.0, 296,1h 40m,documentary
Mozart's Sister,6.8, 35,1h 38m,documentary
We Can Be Heroes,9.2, 17,1h 26m,documentary
My Sweet Land,7.6, 61,1h 26m,documentary
Billy Preston: That's the Way God Planned It,8.4, 28,1h 45m,documentary
Sharon Stone: Survival Instinct,7.0, 62,52m,documentary
Pagtatag! The Documentary,6.5, 194,1h 13m,documentary
A Hero's Journey: The Making of Percy Jackson and the Olympians,7.4, 249,50m,documentary
La Libertad de Fierro,7.1, 22,1h 36m,documentary
Secret Lives of Orangutans,7.3, 458,1h 18m,documentary
How to Build a Truth Engine,8.0, 48,2h 4m,documentary
Elementary,6.1, 63,1h 45m,documentary
The Guest,6.7, 28,1h 18m,documentary
Mrs. Robinson,6.9, 29,1h 34m,documentary
Un hombre libre,7.9, 8,1h 28m,documentary
La Laguna del Soldado,6.8, 20,1h 17m,documentary
The Life of Jesus,8.1, 44,TV-G,documentary
Satisfied,7.5, 14,1h 24m,documentary
Here to Climb,5.9, 238,1h 19m,documentary
Blue Rodeo: Lost Together,8.4, 54,1h 28m,documentary
Expedition Amazon,6.5, 139,47m,documentary
Silent Trees,7.1, 113,1h 25m,documentary
